29.10.2015 14:35:42: Start command "metal:project:normalize-user-avatars"
Rename and move avatar image 194"
Rename and move avatar image 313"
Rename and move avatar image 141"
Rename and move avatar image 192"
Rename and move avatar image 20"
Rename and move avatar image 397"
Rename and move avatar image 346"
Rename and move avatar image 349"
Rename and move avatar image 350"
Rename and move avatar image 351"
Rename and move avatar image 401"
Rename and move avatar image 403"
Rename and move avatar image 407"
Rename and move avatar image 414"
Rename and move avatar image 418"
Rename and move avatar image 427"
Rename and move avatar image 431"
Rename and move avatar image 436"
Rename and move avatar image 785"
Rename and move avatar image 783"
Rename and move avatar image 789"
Rename and move avatar image 442"
Rename and move avatar image 472"
Rename and move avatar image 512"
Rename and move avatar image 515"
Rename and move avatar image 516"
Rename and move avatar image 517"
Rename and move avatar image 519"
Rename and move avatar image 521"
Rename and move avatar image 528"
Rename and move avatar image 529"
Rename and move avatar image 535"
Rename and move avatar image 537"
Rename and move avatar image 555"
Rename and move avatar image 568"
Rename and move avatar image 590"
Rename and move avatar image 592"
Rename and move avatar image 618"
Rename and move avatar image 628"
Rename and move avatar image 648"
Rename and move avatar image 651"
Rename and move avatar image 660"
Rename and move avatar image 668"
Rename and move avatar image 672"
Rename and move avatar image 675"
Rename and move avatar image 686"
Rename and move avatar image 700"
Rename and move avatar image 718"
Rename and move avatar image 726"
Rename and move avatar image 727"
Rename and move avatar image 730"
Rename and move avatar image 734"
Rename and move avatar image 735"
Rename and move avatar image 737"
Rename and move avatar image 738"
Rename and move avatar image 740"
Rename and move avatar image 747"
Rename and move avatar image 749"
Rename and move avatar image 753"
Rename and move avatar image 758"
Rename and move avatar image 759"
Rename and move avatar image 766"
Rename and move avatar image 808"
Rename and move avatar image 811"
Rename and move avatar image 814"
Rename and move avatar image 822"
Rename and move avatar image 3378"
Rename and move avatar image 849"
Rename and move avatar image 857"
Rename and move avatar image 875"
Rename and move avatar image 876"
Rename and move avatar image 905"
Rename and move avatar image 924"
Rename and move avatar image 947"
Rename and move avatar image 938"
Rename and move avatar image 946"
Rename and move avatar image 5551"
Rename and move avatar image 957"
Rename and move avatar image 971"
Rename and move avatar image 1051"
Rename and move avatar image 1052"
Rename and move avatar image 3207"
Rename and move avatar image 1078"
Rename and move avatar image 1092"
Rename and move avatar image 1094"
Rename and move avatar image 3619"
Rename and move avatar image 1101"
Rename and move avatar image 1149"
Rename and move avatar image 1156"
Rename and move avatar image 1187"
Rename and move avatar image 1191"
Rename and move avatar image 1192"
Rename and move avatar image 1199"
Rename and move avatar image 1202"
Rename and move avatar image 1207"
Rename and move avatar image 1211"
Rename and move avatar image 1212"
Rename and move avatar image 1219"
Rename and move avatar image 1221"
Rename and move avatar image 1222"
Rename and move avatar image 1228"
Rename and move avatar image 1242"
Rename and move avatar image 1273"
Rename and move avatar image 1283"
Rename and move avatar image 1286"
Rename and move avatar image 1288"
Rename and move avatar image 1298"
Rename and move avatar image 1335"
Rename and move avatar image 1336"
Rename and move avatar image 1342"
Rename and move avatar image 1346"
Rename and move avatar image 1347"
Rename and move avatar image 1368"
Rename and move avatar image 1413"
Rename and move avatar image 1435"
Rename and move avatar image 1436"
Rename and move avatar image 1458"
Rename and move avatar image 1476"
Rename and move avatar image 1484"
Rename and move avatar image 1489"
Rename and move avatar image 1532"
Rename and move avatar image 1549"
Rename and move avatar image 1552"
Rename and move avatar image 1565"
Rename and move avatar image 1581"
Rename and move avatar image 1610"
Rename and move avatar image 1708"
Rename and move avatar image 1711"
Rename and move avatar image 1742"
Rename and move avatar image 1747"
Rename and move avatar image 1749"
Rename and move avatar image 1774"
Rename and move avatar image 1795"
Rename and move avatar image 1796"
Rename and move avatar image 1797"
Rename and move avatar image 1802"
Rename and move avatar image 1832"
Rename and move avatar image 1877"
Rename and move avatar image 9989"
Rename and move avatar image 1887"
Rename and move avatar image 1962"
Rename and move avatar image 1968"
Rename and move avatar image 1972"
Rename and move avatar image 1984"
Rename and move avatar image 1997"
Rename and move avatar image 2000"
Rename and move avatar image 2042"
Rename and move avatar image 2034"
Rename and move avatar image 2064"
Rename and move avatar image 2107"
Rename and move avatar image 2110"
Rename and move avatar image 2398"
Rename and move avatar image 2143"
Rename and move avatar image 2150"
Rename and move avatar image 2178"
Rename and move avatar image 2194"
Rename and move avatar image 2207"
Rename and move avatar image 2217"
Rename and move avatar image 2234"
Rename and move avatar image 2261"
Rename and move avatar image 2296"
Rename and move avatar image 2304"
Rename and move avatar image 2307"
Rename and move avatar image 2314"
Rename and move avatar image 2340"
Rename and move avatar image 2341"
Rename and move avatar image 2350"
Rename and move avatar image 2363"
Rename and move avatar image 2387"
Rename and move avatar image 2417"
Rename and move avatar image 2484"
Move avatar image 2486"
Rename and move avatar image 2561"
Rename and move avatar image 2647"
Rename and move avatar image 2680"
Rename and move avatar image 2696"
Rename and move avatar image 2725"
Rename and move avatar image 2759"
Rename and move avatar image 2786"
Rename and move avatar image 2816"
Rename and move avatar image 4521"
Rename and move avatar image 2850"
Rename and move avatar image 2867"
Rename and move avatar image 2873"
Rename and move avatar image 2917"
Move avatar image 2950"
Rename and move avatar image 2964"
Rename and move avatar image 2982"
Rename and move avatar image 9419"
Rename and move avatar image 2999"
Rename and move avatar image 3059"
Rename and move avatar image 3064"
Rename and move avatar image 3075"
Rename and move avatar image 9518"
Rename and move avatar image 3098"
Rename and move avatar image 3102"
Rename and move avatar image 3103"
Rename and move avatar image 3141"
Rename and move avatar image 3212"
Rename and move avatar image 3230"
Rename and move avatar image 3299"
Rename and move avatar image 7885"
Move avatar image 13841"
Rename and move avatar image 3412"
Rename and move avatar image 3415"
Rename and move avatar image 3443"
Rename and move avatar image 3444"
Rename and move avatar image 3471"
Rename and move avatar image 3498"
Rename and move avatar image 3501"
Rename and move avatar image 3512"
Rename and move avatar image 3513"
Rename and move avatar image 3525"
Rename and move avatar image 3533"
Rename and move avatar image 3536"
Rename and move avatar image 3553"
Rename and move avatar image 3557"
Rename and move avatar image 3582"
Rename and move avatar image 3595"
Rename and move avatar image 3617"
Rename and move avatar image 10991"
Rename and move avatar image 3733"
Rename and move avatar image 3748"
Rename and move avatar image 3756"
Move avatar image 3775"
Rename and move avatar image 3808"
Rename and move avatar image 3827"
Rename and move avatar image 3828"
Rename and move avatar image 4591"
Rename and move avatar image 3901"
Rename and move avatar image 3908"
Rename and move avatar image 3913"
Rename and move avatar image 3930"
Rename and move avatar image 3941"
Rename and move avatar image 3950"
Rename and move avatar image 3980"
Rename and move avatar image 4006"
Rename and move avatar image 4038"
Rename and move avatar image 4054"
Rename and move avatar image 4078"
Rename and move avatar image 4081"
Rename and move avatar image 4102"
Rename and move avatar image 4110"
Rename and move avatar image 4122"
Rename and move avatar image 4135"
Rename and move avatar image 4153"
Rename and move avatar image 4198"
Rename and move avatar image 4199"
Rename and move avatar image 4200"
Rename and move avatar image 11910"
Rename and move avatar image 4239"
Rename and move avatar image 4249"
Rename and move avatar image 4292"
Rename and move avatar image 4293"
Rename and move avatar image 4300"
Rename and move avatar image 4305"
Rename and move avatar image 4334"
Rename and move avatar image 4352"
Rename and move avatar image 4359"
Rename and move avatar image 4368"
Rename and move avatar image 4379"
Rename and move avatar image 4429"
Rename and move avatar image 4464"
Rename and move avatar image 10334"
Rename and move avatar image 4479"
Rename and move avatar image 4532"
Rename and move avatar image 4536"
Rename and move avatar image 4559"
Rename and move avatar image 11826"
Rename and move avatar image 4583"
